Unnamed: ,Age,City,Profession,Marital Status,Education,No. of Family members,Annual Income,Would you prefer replacing all your vehicles to Electronic vehicles?,If Yes/Maybe what type of EV would you prefer?,Do you think Electronic Vehicles are economical?,Which brand of vehicle do you currently own?,How much money could you spend on an Electronic vehicle?,Preference for wheels in EV,Do you think Electronic vehicles will replace fuel cars in India?
12,21,Pune,None,Married,Graduate,3,1124975.416,Maybe,Sedan,No,Nissan,<15 lakhs,4,"Yes, in <10 years"
13,29,Pune,None,Married,Graduate,5,2161569.269,Yes,Hatchback,Maybe,Tata,<15 lakhs,3,"Yes, possibly after 20 years"
14,28,Pune,Working Professional,Single,Post Graduate,4,2158149.372,Yes,SUV,Yes,KIA,<15 lakhs,4,"Yes, in <10 years"
15,27,Pune,None,Single,Graduate,2,2910067.233,Yes,SUV,Yes,Tata,<15 lakhs,4,"Yes, in <10 years"
16,56,Mumbai,None,Single,Post Graduate,5,2315666.662,No,Liftback,Yes,Chevrolet,<15 lakhs,4,"Yes, in <20years"
17,25,Pune,None,Single,Post Graduate,4,2307403.81,Maybe,Hatchback,Yes,Tata,<25 lakhs,4,"Yes, in <20years"
18,70,Satara,None,Married,Graduate,4,2465153.26,Yes,SUV,Yes,KIA,<25 lakhs,4,"Yes, in <20years"
19,50,Pune,Business,Single,Graduate,8,1384333.732,Yes,SUV,Maybe,Honda,<15 lakhs,2,"Yes, possibly after 20 years"
20,25,pune,Working Professional,Married,Graduate,4,3020107.185,Yes,SUV,Yes,MG,<15 lakhs,2,"Yes, in <20years"
21,24,Mumbai,Working Professional,Married,Graduate,4,2934210.143,Yes,Hatchback,Yes,Suzuki,700000,4,"Yes, in <10 years"
22,24,Pune,None,Single,Post Graduate,4,2478113.829,Yes,Cabrio,Yes,KIA,<15 lakhs,4,"Yes, possibly after 20 years"
23,30,solapur,Working Professional,Married,Graduate,4,2107204.598,Yes,SUV,No,Tata,<15 lakhs,4,"Yes, in <20years"
24,28,Pune,Working Professional,Single,Graduate,4,1399536.548,No,SUV,Yes,KIA,<25 lakhs,2,"Yes, in <20years"
25,28,Haldwani,Working Professional,Married,Post Graduate,3,2269262.459,Yes,Hatchback,Yes,Hyundai,<5 lakhs,4,"Yes, possibly after 20 years"
26,30,Nellore,Business,Single,Graduate,4,2335084.755,Yes,Liftback,Yes,Tata,<15 lakhs,4,I don't think so
27,29,Pune,None,Married,Post Graduate,4,1664194.889,Maybe,Hatchback,Yes,MG,<15 lakhs,4,"Yes, in <20years"
28,27,Pune,None,Married,Graduate,4,2122244.43,Yes,SUV,Yes,Honda,<15 lakhs,4,"Yes, in <10 years"
29,29,Pune,Working Professional,Single,Post Graduate,4,2098838.43,Yes,SUV,Yes,Volkswagen,<15 lakhs,4,I don't think so
30,59,Pune,Business,Married,Graduate,4,1006097.093,No,SUV,Yes,Nissan,<5 lakhs,2,"Yes, in <20years"
31,61,Pune,None,Married,Post Graduate,4,2755825.572,Yes,SUV,Yes,Volkswagen,<15 lakhs,3,"Yes, in <20years"
32,28,Mumbai,Working Professional,Single,Graduate,3,2316589.166,Yes,Cabrio,Yes,Nissan,700000,4,"Yes, in <10 years"
33,23,Pune,Working Professional,Married,Graduate,8,2873835.2,No,SUV,Yes,Tata,<5 lakhs,4,"Yes, in <10 years"
34,30,Haldwani,None,Single,Graduate,3,2369644.424,Yes,Hatchback,Yes,Nissan,<15 lakhs,4,"Yes, in <20years"
35,30,Banglore,None,Single,Graduate,4,1897615.795,Yes,SUV,Yes,Hyundai,<15 lakhs,2,"Yes, in <10 years"
36,23,Pune,None,Single,Post Graduate,2,2797393.033,Yes,SUV,Yes,Tata,<15 lakhs,2,"Yes, in <20years"
37,39,Faridabad,None,Single,Graduate,4,2245048.875,Yes,Hatchback,Yes,Nissan,<25 lakhs,2,"Yes, possibly after 20 years"
38,30,Pune,Salaried,Single,Graduate,4,2555139.055,Maybe,SUV,Yes,Hyundai,<5 lakhs,4,"Yes, in <20years"
39,30,Nagpur,None,Married,Graduate,4,1556667.94,Yes,Liftback,Maybe,Maruti,<15 lakhs,4,"Yes, in <10 years"
40,27,Pune,Working Professional,Single,Post Graduate,3,2266181.408,Yes,SUV,Yes,Tata,700000,2,"Yes, possibly after 20 years"
41,32,Chandrapur,Business,Single,Graduate,3,1021130.397,No,SUV,Yes,Tata,<25 lakhs,4,"Yes, in <20years"
42,31,Pune,None,Single,Graduate,5,2246042.876,Yes,SUV,Maybe,Volkswagen,<15 lakhs,4,"Yes, in <10 years"
43,31,Pune,Working Professional,Single,Graduate,4,2431136.074,Yes,Liftback,Maybe,Tata,<5 lakhs,3,"Yes, in <20years"
44,27,Pune,Business,Single,Graduate,8,2656002.934,Yes,Sedan,Yes,Honda,>25 lakhs,4,"Yes, in <10 years"
45,26,Pune,Working Professional,Single,Graduate,5,1301816.009,No,Hatchback,Maybe,Hyundai,<15 lakhs,4,"Yes, in <20years"
46,24,Pune,Salaried,Single,Graduate,5,2822555.623,Maybe,SUV,Yes,MG,<5 lakhs,3,"Yes, possibly after 20 years"
47,40,Delhi,Working Professional,Single,Graduate,4,2509123.333,Yes,SUV,No,Nissan,<5 lakhs,4,"Yes, in <20years"
48,28,Pune,None,Single,Graduate,6,1241141.375,Yes,SUV,Yes,Honda,<15 lakhs,4,"Yes, in <10 years"
49,30,Pune,None,Single,Post Graduate,4,2786616.916,Maybe,SUV,Yes,Nissan,<15 lakhs,2,"Yes, in <20years"
50,18,Haldwani,Business,Married,Post Graduate,6,2862620.965,Yes,Sedan,No,Tata,<15 lakhs,3,"Yes, in <10 years"
51,58,Pune,None,Single,Graduate,6,2546334.769,No,SUV,No,Tata,<15 lakhs,4,"Yes, in <10 years"
52,30,Chennai,None,Single,Graduate,4,2472601.866,No,SUV,Yes,Hyundai,<15 lakhs,4,"Yes, in <20years"
53,29,Chennai,Working Professional,Married,Post Graduate,6,1279845.16,Maybe,SUV,Maybe,Tata,<15 lakhs,4,I don't think so
54,22,Pune,Business,Single,Graduate,4,2419909.561,Yes,SUV,Yes,Honda,<25 lakhs,2,"Yes, in <20years"
55,27,Gurugram,None,Married,Post Graduate,4,1038262.11,Yes,Sedan,Yes,Nissan,<5 lakhs,4,"Yes, possibly after 20 years"
56,24,Pune,None,Married,Graduate,5,334210.8418,Yes,SUV,Yes,Nissan,<15 lakhs,4,"Yes, in <10 years"
57,32,Pune,None,Single,Graduate,3,2630157.114,No,SUV,Yes,Maruti,<25 lakhs,4,"Yes, in <20years"
58,29,Nashik,Working Professional,Single,Graduate,6,1857651.298,Yes,SUV,Yes,Hyundai,<25 lakhs,4,"Yes, in <20years"
59,30,Pune,Business,Married,Graduate,6,2917655.839,Yes,Sedan,Yes,Tata,<5 lakhs,3,"Yes, in <20years"
60,27,Bengaluru,Working Professional,Single,Graduate,4,1764432.549,Maybe,Sedan,Yes,Chevrolet,2000000,4,I don't think so
61,29,Pune,None,Single,Graduate,4,3031720.158,Yes,Liftback,Yes,Honda,<15 lakhs,4,"Yes, possibly after 20 years"
62,31,Bengaluru,None,Married,Post Graduate,4,1034431.203,Yes,SUV,Yes,KIA,<15 lakhs,4,"Yes, possibly after 20 years"
63,28,Delhi,Business,Single,Graduate,0,1568994.988,Yes,Hatchback,No,Maruti Suzuki,<15 lakhs,4,I don't think so
64,96,Pune,Business,Married,Post Graduate,4,2760237.448,Yes,Sedan,Maybe,Tata,<15 lakhs,4,"Yes, in <10 years"
65,64,Kashipur,Working Professional,Single,Post Graduate,5,1334749.336,Yes,SUV,Yes,Nissan,<5 lakhs,4,I don't think so
66,22,Pune,None,Single,Graduate,5,3292567.651,Maybe,Sedan,Yes,Nissan,<15 lakhs,3,"Yes, in <20years"
67,22,Mumbai,None,Married,Post Graduate,4,2160756.594,Maybe,SUV,No,Hyundai,<15 lakhs,2,"Yes, in <10 years"
68,23,Bengaluru,None,Married,Post Graduate,2,2607573.97,Yes,Sedan,Yes,Maruti Suzuki,<25 lakhs,2,"Yes, possibly after 20 years"
69,28,Mumbai,None,Single,Graduate,4,2684283.559,Yes,SUV,Yes,Hyundai,<5 lakhs,4,"Yes, in <20years"
70,30,Hakdwani,Working Professional,Married,Post Graduate,4,2950816.255,Yes,SUV,Yes,KIA,<15 lakhs,4,"Yes, in <20years"
71,26,Pune,None,Single,Graduate,4,3368817.561,Yes,Liftback,Yes,MG,<5 lakhs,3,"Yes, possibly after 20 years"
72,21,Pune,Working Professional,Married,Graduate,3,2951324.298,Yes,SUV,Maybe,McLaren,<5 lakhs,3,"Yes, in <20years"
73,24,Pune,Working Professional,Single,Graduate,8,1228969.075,Yes,Liftback,Yes,KIA,<5 lakhs,4,"Yes, in <10 years"
74,58,Mumbai,None,Married,Post Graduate,4,2961765.912,Maybe,Cabrio,Yes,Volkswagen,1200000,4,"Yes, in <10 years"
75,26,Pune,None,Single,Post Graduate,4,2066742.988,Yes,SUV,Yes,KIA,<25 lakhs,4,"Yes, in <10 years"
76,27,Pune,Business,Single,Post Graduate,4,2697513.047,Yes,Liftback,Yes,Nissan,<15 lakhs,3,"Yes, in <20years"
77,29,Satara,Working Professional,Single,Graduate,5,2119336.021,Yes,Sedan,Yes,Honda,<5 lakhs,4,"Yes, in <10 years"
78,21,Pune,Working Professional,Single,Graduate,6,2730199.559,Maybe,Sedan,Yes,Maruti,<15 lakhs,4,"Yes, in <20years"
79,26,Pune,None,Married,Post Graduate,4,2662596.566,Yes,SUV,Yes,Nissan,<15 lakhs,4,"Yes, in <10 years"
80,25,Delhi,None,Single,Graduate,1,2776677.655,Yes,Sedan,Yes,Hyundai,<5 lakhs,2,"Yes, in <10 years"
81,25,Pune,None,Single,Graduate,0,2636995.708,Yes,SUV,Yes,Nexa,<15 lakhs,4,"Yes, in <20years"
82,25,Kashipur,Working Professional,Single,Graduate,4,2205406.678,Yes,SUV,Yes,Nissan,<25 lakhs,4,"Yes, in <10 years"
83,52,Pune,Business,Married,Graduate,3,1092978.56,No,SUV,Yes,Nissan,1200000,4,"Yes, in <20years"
84,23,Mumbai,Business,Married,Graduate,5,1362844.91,Yes,Sedan,Maybe,Nissan,<25 lakhs,4,"Yes, in <20years"
85,58,Pune,Working Professional,Single,Graduate,8,2201016.663,No,SUV,Yes,Nissan,<5 lakhs,4,"Yes, in <20years"
86,25,Pune,None,Married,Post Graduate,4,2983413.076,Yes,Sedan,Yes,Honda,<15 lakhs,4,"Yes, in <10 years"
87,28,Nabha,Working Professional,Single,Graduate,4,2226587.5,Yes,Liftback,No,Hyundai,<25 lakhs,2,"Yes, in <10 years"
88,29,Patiyala,Working Professional,Single,Graduate,5,1472811.98,Maybe,Hatchback,Yes,Tata,<5 lakhs,4,I don't think so
89,30,Satara,None,Single,Graduate,5,1720061.417,No,SUV,Yes,Honda,<5 lakhs,4,"Yes, in <10 years"
90,28,Pune,None,Single,Graduate,5,2139941.045,Yes,SUV,Yes,KIA,<15 lakhs,4,"Yes, in <10 years"
91,31,Pune,Working Professional,Married,Post Graduate,4,2834704.041,No,SUV,Yes,Nissan,<15 lakhs,4,"Yes, in <20years"
92,28,pUNE,Working Professional,Single,Graduate,4,2159522.497,Yes,Sedan,Yes,Audi,<15 lakhs,2,I don't think so
93,31,Pune,None,Single,Graduate,3,3249373.493,Yes,Hatchback,Maybe,McLaren,<15 lakhs,4,"Yes, in <20years"
94,28,Pune,Business,Single,Post Graduate,6,3171643.924,Yes,SUV,Yes,Hyundai,<15 lakhs,2,"Yes, possibly after 20 years"
95,25,Ahmedabad,None,Married,Graduate,4,1758297.249,Yes,SUV,Yes,Tata,<15 lakhs,4,"Yes, in <10 years"
96,30,Pune,None,Single,Graduate,4,1197296.797,Yes,SUV,Yes,Nissan,<15 lakhs,4,"Yes, in <20years"
97,28,Karnal,None,Single,Post Graduate,6,2335093.44,No,Hatchback,Yes,Honda,<15 lakhs,2,"Yes, in <10 years"
98,30,Rewari,Working Professional,Single,Post Graduate,4,1892771.79,Yes,Sedan,Yes,Hyundai,<25 lakhs,4,"Yes, in <20years"
99,25,Faridabad,None,Married,Graduate,4,2509936.981,No,SUV,Yes,Maruti,<5 lakhs,3,"Yes, possibly after 20 years"
100,32,Pune,Business,Married,Graduate,4,2514285.22,Maybe,Liftback,Yes,Hyundai,<15 lakhs,4,"Yes, in <20years"
101,25,Faridabad,Working Professional,Single,Graduate,5,2352644.665,Yes,Liftback,Maybe,Tata,<5 lakhs,2,"Yes, in <10 years"
102,27,Pune,Business,Single,Post Graduate,4,1548857.954,Yes,Hatchback,Yes,Tata,<15 lakhs,4,"Yes, in <20years"
103,26,Pune,None,Married,Graduate,4,1380123.359,No,Sedan,No,Volkswagen,<15 lakhs,4,"Yes, in <10 years"
104,27,Pune,None,Married,Graduate,4,3215684.671,Maybe,Hatchback,Yes,Volkswagen,<15 lakhs,3,"Yes, in <20years"
105,27,New Delhi,None,Married,Post Graduate,4,3277243.102,Maybe,Hatchback,Yes,KIA,<5 lakhs,4,"Yes, possibly after 20 years"
106,27,Pune,Working Professional,Married,Post Graduate,4,2243850.938,Yes,SUV,Yes,Tata,<5 lakhs,4,"Yes, in <20years"
107,26,Pune,Working Professional,Single,Graduate,4,1707238.528,No,Hatchback,Yes,Tata,<15 lakhs,4,"Yes, in <10 years"
108,54,Pune,None,Single,Post Graduate,0,1802832.039,Yes,Sedan,Yes,Nissan,<5 lakhs,4,"Yes, in <20years"
109,30,Pune,None,Single,Post Graduate,8,1333836.996,Maybe,SUV,Yes,Honda,<15 lakhs,4,"Yes, in <20years"
110,27,Pune,Working Professional,Single,Post Graduate,7,3182520.212,Yes,SUV,Yes,Honda,<5 lakhs,2,"Yes, possibly after 20 years"
111,32,Serampore,Working Professional,Single,Graduate,5,2233912.726,Yes,Sedan,Yes,MG,<5 lakhs,4,"Yes, in <10 years"
112,27,Chandrapur,Working Professional,Single,Graduate,3,2293527.401,Maybe,SUV,Yes,KIA,<25 lakhs,2,"Yes, in <20years"
113,26,Nabha,Working Professional,Married,Post Graduate,8,1689235.41,Yes,SUV,Yes,KIA,<15 lakhs,4,I don't think so
114,28,Pune,Working Professional,Single,Graduate,5,3298816.598,Maybe,Liftback,Maybe,Hyundai,>25 lakhs,4,"Yes, in <20years"
115,32,New Delhi,Working Professional,Single,Graduate,4,2894136.566,Yes,SUV,Maybe,Hyundai,<25 lakhs,2,"Yes, in <10 years"
116,42,solapur,None,Married,Graduate,3,2954630.248,Yes,Hatchback,Yes,Maruti Suzuki,<25 lakhs,2,"Yes, in <10 years"
117,28,Pune,None,Married,Post Graduate,5,2782366.153,Yes,Hatchback,Yes,Tata,<15 lakhs,4,"Yes, in <10 years"
118,49,Pune,None,Married,Post Graduate,4,1986902.262,No,Sedan,Maybe,Nissan,<15 lakhs,2,"Yes, in <20years"
119,57,Rewari,None,Married,Graduate,1,2290556.404,Yes,SUV,Yes,KIA,<15 lakhs,4,"Yes, in <10 years"
120,28,Pune,Working Professional,Married,Graduate,4,2990074.387,Maybe,Sedan,Yes,MG,<5 lakhs,4,"Yes, possibly after 20 years"
121,46,Pune,Working Professional,Married,Post Graduate,8,2103710.06,Maybe,Sedan,Yes,Honda,<5 lakhs,4,"Yes, in <10 years"
122,31,Pune,Working Professional,Single,Graduate,4,2220085.579,Yes,SUV,Yes,Honda,<25 lakhs,2,"Yes, in <20years"
123,30,Karnal,Working Professional,Single,Post Graduate,7,1145157.904,Maybe,Hatchback,Yes,Maruti,<15 lakhs,4,"Yes, in <20years"
124,28,Kashipur,Working Professional,Single,Graduate,4,3052394.21,Yes,Sedan,Yes,Nissan,<25 lakhs,4,"Yes, in <20years"
125,29,Pune,None,Single,Graduate,4,1966697.623,Maybe,Sedan,Yes,Nissan,<25 lakhs,4,"Yes, in <20years"
126,28,Hakdwani,Working Professional,Married,Graduate,3,1705359.082,Yes,Sedan,Maybe,Hyundai,<15 lakhs,2,"Yes, in <20years"
127,28,Mumbai,Working Professional,Single,Post Graduate,4,2594357.957,Yes,SUV,Yes,Tata,<15 lakhs,2,"Yes, in <10 years"
128,23,pune,Working Professional,Married,Graduate,4,2057505.451,Yes,Sedan,Yes,MG,<5 lakhs,4,"Yes, in <20years"
129,36,Pune,None,Single,Graduate,3,1643602.143,Yes,SUV,Yes,Tata,<15 lakhs,2,"Yes, in <20years"
130,26,Pune,Working Professional,Single,Graduate,4,2975936.321,Maybe,Sedan,Maybe,Volkswagen,<15 lakhs,3,"Yes, in <10 years"
131,28,Chennai,None,Single,Post Graduate,6,1432375.113,Maybe,Liftback,Yes,Nissan,<15 lakhs,4,I don't think so
132,24,Pune,None,Single,Graduate,6,1558491.348,Maybe,SUV,Yes,Maruti Suzuki,<15 lakhs,4,"Yes, in <20years"
133,26,Pune,None,Married,Post Graduate,4,1246358.514,Maybe,SUV,Maybe,KIA,<15 lakhs,4,"Yes, in <20years"
134,28,New Delhi,None,Single,Graduate,8,2943517.981,Yes,SUV,Yes,Honda,<25 lakhs,2,"Yes, in <10 years"
135,55,Nabha,None,Single,Post Graduate,4,2818410.571,Yes,SUV,Yes,Tata,<5 lakhs,2,"Yes, in <10 years"
136,29,Pune,None,Single,Post Graduate,3,2109425.809,Maybe,Hatchback,Yes,Maruti,2000000,4,"Yes, in <20years"
137,25,Pune,Business,Married,Graduate,4,2369845.814,Yes,SUV,No,KIA,<5 lakhs,4,"Yes, in <20years"
138,59,Pune,None,Married,Graduate,1,2900968.273,Yes,SUV,Maybe,KIA,<15 lakhs,4,"Yes, in <20years"
139,26,Pune,Working Professional,Married,Post Graduate,4,2009312.24,Yes,SUV,No,Honda,<25 lakhs,4,"Yes, in <10 years"
140,31,Pune,Working Professional,Single,Graduate,4,2697914.481,Yes,Sedan,Yes,MG,<15 lakhs,3,I don't think so
141,21,Banglore,Business,Single,Post Graduate,4,3060007.222,Maybe,SUV,Yes,Hyundai,<15 lakhs,4,"Yes, in <20years"
142,31,Delhi,Business,Married,Graduate,4,1909959.464,Yes,Sedan,No,KIA,<15 lakhs,3,"Yes, in <10 years"
143,28,Noida,None,Single,Post Graduate,4,1900331.049,Yes,SUV,Yes,Maruti,<15 lakhs,3,"Yes, in <20years"
144,31,Pune,Working Professional,Married,Graduate,4,3131824.893,No,Liftback,Yes,KIA,<15 lakhs,4,"Yes, in <10 years"
145,29,Pune,Working Professional,Single,Post Graduate,4,2623831.953,Yes,Hatchback,Yes,Volkswagen,<15 lakhs,4,"Yes, in <20years"
146,32,Pune,Working Professional,Married,Graduate,4,3036462.944,Yes,SUV,Yes,Honda,<5 lakhs,4,"Yes, possibly after 20 years"
147,55,Pune,None,Married,Graduate,3,2402540.261,No,Liftback,Yes,Tata,<15 lakhs,4,"Yes, in <20years"
148,21,Satara,None,Single,Graduate,3,2859052.983,Yes,Sedan,Yes,McLaren,<15 lakhs,4,"Yes, in <20years"
149,30,Pune,None,Married,Graduate,5,11248707.64,Yes,Hatchback,Yes,KIA,<15 lakhs,2,"Yes, possibly after 20 years"
150,28,Nagpur,None,Married,Graduate,6,2651315.55,Yes,Hatchback,Yes,Honda,<25 lakhs,2,"Yes, in <20years"
151,26,Pune,Working Professional,Married,Graduate,4,10302893.1,Yes,Sedan,No,MG,<5 lakhs,4,"Yes, in <10 years"
152,30,Pune,None,Married,Graduate,4,2624201.194,Yes,Liftback,Yes,Nissan,<15 lakhs,2,"Yes, in <10 years"
153,21,Pune,None,Single,Graduate,5,2576937.3,Yes,Cabrio,Yes,Nissan,<5 lakhs,4,"Yes, in <10 years"
154,20,Pune,None,Single,Graduate,4,1568688.111,Yes,SUV,Yes,Honda,<5 lakhs,2,"Yes, in <10 years"
155,64,Pune,None,Married,Post Graduate,4,2482846.582,Yes,Liftback,Yes,Honda,<15 lakhs,3,"Yes, in <20years"
156,31,Pune,Working Professional,Married,Post Graduate,5,2462782.841,Yes,Sedan,Yes,KIA,<15 lakhs,4,"Yes, in <20years"
157,59,New Delhi,Working Professional,Single,Post Graduate,4,2350565.475,Yes,SUV,Yes,Tata,<15 lakhs,4,"Yes, in <20years"
158,27,Haldwani,None,Married,Graduate,4,2661203.602,Yes,SUV,Maybe,KIA,<5 lakhs,2,"Yes, in <20years"
159,27,Pune,Working Professional,Single,Graduate,8,1620847.068,Maybe,SUV,Yes,Tata,<15 lakhs,4,"Yes, in <20years"
160,27,Nagpur,Working Professional,Married,Post Graduate,5,3036768.848,Maybe,Hatchback,Yes,KIA,<15 lakhs,2,"Yes, in <20years"
161,19,Pune,Working Professional,Single,Graduate,3,2841295.875,Yes,Liftback,Yes,Volkswagen,<5 lakhs,4,"Yes, in <10 years"
162,25,Pune,None,Single,Graduate,3,2950772.982,Yes,Hatchback,Yes,KIA,1500000,4,"Yes, in <20years"
163,65,Pune,Salaried,Single,Graduate,4,2537528.985,Yes,Sedan,Yes,KIA,<15 lakhs,4,"Yes, in <10 years"
164,22,Delhi,None,Single,Graduate,5,995142.2394,Yes,SUV,Yes,KIA,>25 lakhs,2,"Yes, in <10 years"
165,24,Pune,None,Single,Graduate,7,3052580.477,No,SUV,No,Nissan,<15 lakhs,4,"Yes, in <10 years"
166,29,Pune,None,Single,Post Graduate,3,2934963.299,Maybe,SUV,Yes,KIA,<15 lakhs,2,"Yes, possibly after 20 years"
167,32,Pune,None,Single,Post Graduate,5,2329694.076,Maybe,SUV,Yes,KIA,<15 lakhs,4,"Yes, in <10 years"
168,29,Delhi,None,Married,Graduate,4,2595400.996,Yes,Sedan,Yes,Nissan,<15 lakhs,4,"Yes, in <20years"
169,26,pune,Salaried,Single,Graduate,4,2406220.543,Maybe,Liftback,Yes,Maruti,<15 lakhs,2,"Yes, in <20years"
170,25,Pune,Business,Single,Graduate,5,1873086.05,Yes,Liftback,Yes,Nissan,<15 lakhs,4,"Yes, in <10 years"
171,29,New Delhi,Working Professional,Single,Graduate,4,2783844.165,No,Liftback,Yes,McLaren,<25 lakhs,4,"Yes, in <20years"
172,26,Pune,Working Professional,Single,Post Graduate,5,551705.4973,Maybe,Liftback,Yes,Honda,<25 lakhs,3,I don't think so
173,30,Banglore,Business,Single,Graduate,4,2909361.393,Yes,SUV,Yes,Tata,<15 lakhs,4,"Yes, possibly after 20 years"
174,31,Jhansi,Working Professional,Married,Post Graduate,4,2233024.361,Maybe,SUV,Yes,Tata,<5 lakhs,4,"Yes, in <20years"
175,27,Noida,Working Professional,Single,Graduate,5,2341055.349,Yes,Liftback,Yes,Hyundai,<15 lakhs,2,"Yes, possibly after 20 years"
176,30,Pune,None,Married,Graduate,4,2754972.245,Yes,SUV,Yes,KIA,<15 lakhs,3,"Yes, in <20years"
177,30,Pune,Working Professional,Single,Post Graduate,4,1452583.87,Yes,Sedan,Yes,Hyundai,<15 lakhs,4,"Yes, in <10 years"
178,25,Pune,Working Professional,Single,Graduate,5,2272881.874,Yes,Sedan,Yes,Chevrolet,<25 lakhs,4,"Yes, possibly after 20 years"
179,26,Pune,Working Professional,Single,Graduate,4,3047228.13,No,Hatchback,Yes,Honda,<15 lakhs,4,"Yes, in <10 years"
180,30,Pune,Working Professional,Married,Post Graduate,4,2495424.283,Yes,SUV,Yes,Tata,<15 lakhs,2,"Yes, in <10 years"
181,24,Pune,None,Married,Graduate,5,1608558.538,Yes,Cabrio,Yes,Hyundai,<5 lakhs,2,"Yes, possibly after 20 years"
182,28,Pune,Business,Single,Post Graduate,5,1885897.035,No,SUV,Yes,Maruti,<15 lakhs,2,"Yes, in <10 years"
183,29,Pune,None,Married,Graduate,4,1852575.432,Maybe,SUV,Yes,Nissan,<15 lakhs,4,"Yes, in <10 years"
184,29,Mumbai,None,Single,Post Graduate,2,2468341.52,Yes,SUV,Yes,Tata,<15 lakhs,4,"Yes, in <10 years"
185,30,Mumbai,None,Single,Graduate,4,824498.5195,Yes,SUV,Yes,MG,<25 lakhs,4,"Yes, possibly after 20 years"
186,27,Pune,None,Married,Graduate,0,2659291.215,No,Liftback,Yes,Tata,<15 lakhs,4,"Yes, possibly after 20 years"
187,32,Chennai,None,Married,Graduate,4,2178185.487,Yes,SUV,Yes,Honda,<15 lakhs,4,"Yes, in <20years"
188,30,Pune,Working Professional,Single,Post Graduate,4,2307006.269,Yes,Sedan,No,Tata,<15 lakhs,4,"Yes, possibly after 20 years"
189,17,Pune,None,Single,Post Graduate,1,2898850.303,Yes,Sedan,Yes,Nissan,<5 lakhs,4,"Yes, in <10 years"
190,30,Pune,Working Professional,Single,Graduate,5,1292857.591,No,Liftback,Yes,Honda,<5 lakhs,4,I don't think so
191,27,Satara,Business,Married,Graduate,5,3270710.262,Yes,SUV,Yes,Hyundai,<5 lakhs,2,"Yes, in <10 years"
192,60,Faridabad,None,Married,Graduate,3,2664116.503,Maybe,SUV,Yes,Honda,<25 lakhs,3,"Yes, possibly after 20 years"
193,26,Pune,Working Professional,Single,Graduate,3,2717785.366,No,Sedan,Yes,Volkswagen,<15 lakhs,4,"Yes, in <20years"
194,28,Pune,None,Married,Post Graduate,5,2161802.552,Yes,Hatchback,Yes,KIA,<15 lakhs,4,"Yes, in <10 years"
195,29,Noida,None,Married,Graduate,4,1534821.743,Yes,Hatchback,Yes,Maruti Suzuki,<15 lakhs,3,"Yes, in <10 years"
196,28,Hakdwani,None,Married,Post Graduate,4,1921983.753,Yes,SUV,Yes,Hyundai,<5 lakhs,2,I don't think so
197,29,Pune,Working Professional,Married,Graduate,4,1845026.206,Yes,SUV,No,MG,<5 lakhs,2,"Yes, in <10 years"
198,44,Banglore,Business,Married,Post Graduate,5,2947131.931,Yes,SUV,Yes,Hyundai,<5 lakhs,4,"Yes, possibly after 20 years"
199,22,Pune,Working Professional,Single,Post Graduate,5,2065952.4,Yes,SUV,Yes,Nissan,<15 lakhs,2,"Yes, in <20years"
200,30,Nellore,None,Single,Post Graduate,4,1142641.954,Maybe,SUV,Yes,Tata,<25 lakhs,4,"Yes, in <10 years"
